OrganisationLabel,OrganisationURI,EffectiveDate,Level,JobTitle,Name,Grade,Directorate,Service,ContractType,SharedPost,ContactDetails,SalaryBand,MaximumSalary,Vacancy,Comments
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,1,"Chief Executive / Place-Based Lead for Health and Care Integration, NHS GM/Trafford",Sara Todd,Chief Executive,NA,NA,Permanent,NA,sara.todd@trafford.gov.uk,195000 - 199999,NA,NA,Single salary point - there is no payscale for this role and therefore there is no salary 'range' applicable
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,2,Corporate Director of Children's Services,NA,Director,Children's Services,NA,Permanent,NA,access.trafford@trafford.gov.uk,140000 - 145000,NA,NA,Single salary point - there is no payscale for this role and therefore there is no salary 'range' applicable
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,3,Head of Commissioning for Children & Young People,NA,SM4C,Children's Services,Commissioning,Permanent,NA,access.trafford@trafford.gov.uk,NA,65059,Vacant,This is a permanent role on the establishment although is covered by an Interim Consultancy arrangement
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,3,"Director of Education Standards, Quality & Assurance",NA,SM3A,Children's Services,Education Standards Quality & Performance,Permanent,NA,access.trafford@trafford.gov.uk,10000 - 104999,101381,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,3,Strategic Lead Safeguarding,NA,SM4A,Children's Services,Safeguarding,Permanent,NA,access.trafford@trafford.gov.uk,NA,81118,Vacant,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,3,Strategic Lead Practice Improvement,NA,SM4A,Children's Services,Improvement & Learning,Permanent,NA,access.trafford@trafford.gov.uk,84000 - 84999,81118,NA,Salary range shown is inclusive of honorarium payment.  Maximum salary shown is the maximum of the grade
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,3,Director of Early Help and Children's Social Care,NA,SM3A,Children's Services,Childrens Service,Permanent,NA,access.trafford@trafford.gov.uk,95000 - 99999,101381,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,School Improvement Advisor - Primary,NA,Soulbury Educational Professionals,Children's Services,School Improvement,Permanent,NA,access.trafford@trafford.gov.uk,NA,71326,Vacant,This is a permanent role on the establishment although is covered by an Interim Agency arrangement
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,School Improvement Advisor - Secondary,NA,Soulbury Educational Professionals,Children's Services,School Improvement,Permanent,NA,access.trafford@trafford.gov.uk,70000 - 74999,71326,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,Virtual School Head,NA,Soulbury Educational Professionals,Children's Services,Virtual School,Permanent,NA,access.trafford@trafford.gov.uk,75000 - 79999,NA,NA,"No max of grade is stated as due to data protection, this is restricted"
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,Principal Educational Psychologist,NA,Soulbury Senior & Principal Educational Psychologists,Children's Services,Education Psychology,Permanent,NA,access.trafford@trafford.gov.uk,70000 - 74999,74790,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,"Head of Education, School Places, Access and Vulnerable Children",NA,SM4C,Children's Services,Early Years School Places & Access,Permanent,NA,access.trafford@trafford.gov.uk,65000 - 69999,NA,NA,"No max of grade is stated as due to data protection, this is restricted"
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,Head of SEND and Inclusion,NA,Soulbury Educational Professionals,Children's Services,Inclusion,Permanent,NA,access.trafford@trafford.gov.uk,65000 - 69999,72507,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,Head of Early Years & Family Help,NA,SM4C,Children's Services,Education Standards Quality & Performance,Permanent,NA,access.trafford@trafford.gov.uk,55000 - 59999,65059,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,Advisor (Inclusion)/SENAS Team Leader,NA,Soulbury Educational Professionals,Children's Services,Special Educational Needs Advisory Service,Permanent,NA,access.trafford@trafford.gov.uk,60000 - 65000,62942,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,"Head of Service, Provider Services",NA,SM4C,Children's Services,Provider Services,Permanent,NA,access.trafford@trafford.gov.uk,NA,65059,Vacant,This is a permanent role on the establishment although is covered by an Interim Agency arrangement
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,"Head of Service, Cared 4 & Care Experience Service",NA,SM4C,Children's Services,Cared 4 & Care Experienced,Permanent,NA,access.trafford@trafford.gov.uk,60000 - 64999,65059,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,Head of Service Families First (Child in Need) Locality Service,NA,SM4C,Children's Services,Families First (Child in Need),Permanent,NA,access.trafford@trafford.gov.uk,60000 - 64999,65059,NA,NA
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,Designated Social Care Officer / Head of Service Children with Additional Needs,NA,SM4C,Children's Services,Children with Additional Needs,Permanent,NA,access.trafford@trafford.gov.uk,NA,65059,Vacant,"This is a permanent role on the establishment, although is covered by an Interim Agency arrangement"
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2025-07-01,4,Head of Service Early Help Locality Service & First Response,NA,SM4C,Children's Services,Early Help Locality Service & First Response,Permanent,NA,access.trafford@trafford.gov.uk,60000 - 64999,65059,NA,NA
